fid,Nr_ID_JRG,Nazwa_jednostki,Nazwa_komendy_P-M,Nazwa_komendy_KW,Populacja,Liczba_SOR_w_OCH,l_karetek_p,l_karetek_s,l_wyjazdow_PRM,l_obs_pacjetnow_PRM,Liczba_strazakow_na_zm,liczba_zdarzen,liczba_rat_PRM,Liczba_pojazdow,pow_ob_ch,pow_ob_ch_km_kw,Liczba_dyspozytorni,Priorytet_KW,Wojewodztwo,Powiat,ID_JRG_PRIO,Long,Lat
206,1412001,JRG Lidzbark Warmiński,KP PSP Lidzbark Warmiński,KW PSP Olsztyn,35280,0,3,0,4389,1654,7,391,2,4,1087898905,1088,2,12,WARMIŃSKO-MAZURSKIE,lidzbarski,1412001,20.57274722,54.12210833
207,1401001,JRG nr 1 Olsztyn,KM PSP Olsztyn,KW PSP Olsztyn,173393,6,5,2,17594,10530,17,1887,2,13,1099080682,1100,4,1,WARMIŃSKO-MAZURSKIE,Olsztyn,1401001,20.47605833,53.7721
208,1401002,JRG nr 2 Olsztyn,KM PSP Olsztyn,KW PSP Olsztyn,70608,5,3,0,7182,4060,9,935,1,15,626847480,627,2,20,WARMIŃSKO-MAZURSKIE,Olsztyn,1401002,20.49929722,53.789525
209,1402001,JRG Biskupiec,KM PSP Olsztyn,KW PSP Olsztyn,38320,1,3,0,4492,2187,8,471,0,7,915261311,916,3,22,WARMIŃSKO-MAZURSKIE,olsztyński,1402001,20.95612778,53.86117778
210,1417001,JRG Morąg,KP PSP Ostróda,KW PSP Olsztyn,50591,0,4,0,6087,2488,7,508,1,8,1007528979,1008,4,24,WARMIŃSKO-MAZURSKIE,ostródzki,1417001,19.92875,53.91033333
211,1417002,JRG Ostróda,KP PSP Ostróda,KW PSP Olsztyn,61466,0,2,1,5584,2077,9,773,1,14,1066378925,1067,2,4,WARMIŃSKO-MAZURSKIE,ostródzki,1417002,19.96587778,53.70125
212,1406001,JRG nr 1 Elbląg,KM PSP Elbląg,KW PSP Olsztyn,67704,1,5,1,14536,8251,13,1031,3,11,569701527,570,3,2,WARMIŃSKO-MAZURSKIE,Elbląg,1406001,19.44042222,54.15595
213,1407001,JRG nr 2 Elbląg,KM PSP Elbląg,KW PSP Olsztyn,70291,0,1,0,815,415,8,712,3,5,345671540,346,1,21,WARMIŃSKO-MAZURSKIE,Elbląg,1407001,19.39727778,54.17208056
214,1407002,JRG Pasłęk,KP PSP Ostróda,KW PSP Olsztyn,27961,0,1,0,1905,1191,8,388,2,6,771949556,772,1,23,WARMIŃSKO-MAZURSKIE,elbląski,1407002,19.65540556,54.06161944
215,0805001,JRG 1 Kędzierzyn-Koźle,KP PSP Kędzierzyn-Koźle,KW PSP Opole,47576,0,1,0,991,977,12,702,2,16,211510053,212,1,0,OPOLSKIE,kędzierzyńsko-kozielski,0805001,18.24362222,50.31206667
216,0801001,JRG nr 1 Opole,KM PSP Opole,KW PSP Opole,116829,1,5,1,12175,6381,13,1287,5,21,620062668,621,3,0,OPOLSKIE,Opole,0801001,17.96263333,50.66424722
217,0805002,JRG 2 Kędzierzyn-Koźle,KP PSP Kędzierzyn-Koźle,KW PSP Opole,42354,1,2,1,2686,2440,9,839,0,12,496079890,497,2,0,OPOLSKIE,kędzierzyńsko-kozielski,0805002,18.14061389,50.33448611
218,0803001,JRG Brzeg,KP PSP Brzeg,KW PSP Opole,67338,2,1,1,4467,2103,11,1592,0,18,615092119,616,1,0,OPOLSKIE,brzeski,0803001,17.49581944,50.84978333
219,0804001,JRG Głubczyce,KP PSP Głubczyce,KW PSP Opole,41654,1,2,1,3764,2018,8,489,1,18,684688506,685,2,0,OPOLSKIE,głubczycki,0804001,17.83211111,50.19513889
